# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
SLH-DSA benchmark starting...
Testing parameter set: SLH-DSA-SHA2-128s
SLH-DSA,sign,192,317874204,21
SLH-DSA,sign,192,317877475,22
SLH-DSA,sign,192,317877820,23
SLH-DSA,sign,192,317877599,24
SLH-DSA,sign,192,317880273,25
SLH-DSA,sign,192,317873716,26
SLH-DSA,sign,192,317884123,27
SLH-DSA,sign,192,317880735,28
SLH-DSA,sign,192,317878439,29
SLH-DSA,sign,192,317879752,30
# SUMMARY SLH-DSA sign 192: mean=317880479 min=317873716 max=317888713 stddev=3265.9 cv=0.00%
Signature generated (16224 bytes)
Starting Verify benchmark
SLH-DSA,verify,192,248940,1
SLH-DSA,verify,192,248878,2
SLH-DSA,verify,192,248847,3
SLH-DSA,verify,192,248966,4
SLH-DSA,verify,192,248994,5
SLH-DSA,verify,192,248888,6
SLH-DSA,verify,192,248750,7
SLH-DSA,verify,192,248827,8
SLH-DSA,verify,192,248821,9
SLH-DSA,verify,192,248895,10
SLH-DSA,verify,192,248819,11
SLH-DSA,verify,192,248961,12
SLH-DSA,verify,192,248877,13
SLH-DSA,verify,192,248841,14
SLH-DSA,verify,192,248945,15
SLH-DSA,verify,192,248913,16
SLH-DSA,verify,192,248890,17
SLH-DSA,verify,192,248891,18
SLH-DSA,verify,192,248791,19
SLH-DSA,verify,192,248867,20
SLH-DSA,verify,192,248893,21
SLH-DSA,verify,192,248943,22
SLH-DSA,verify,192,248803,23
SLH-DSA,verify,192,248845,24
SLH-DSA,verify,192,248909,25
SLH-DSA,verify,192,248833,26
SLH-DSA,verify,192,248778,27
SLH-DSA,verify,192,248929,28
SLH-DSA,verify,192,248929,29
SLH-DSA,verify,192,248882,30
# SUMMARY SLH-DSA verify 192: mean=248878 min=248750 max=248994 stddev=58.7 cv=0.02%
Finished SLH-DSA-SHA2-192s

========================================
Testing parameter set: SLH-DSA-SHA2-256s
SLH-DSA,keygen,256,17752406,1
SLH-DSA,keygen,256,17751466,2
SLH-DSA,keygen,256,17751615,3
SLH-DSA,keygen,256,17751305,4
SLH-DSA,keygen,256,17751209,5
SLH-DSA,keygen,256,17751269,6
SLH-DSA,keygen,256,17751711,7
SLH-DSA,keygen,256,17751074,8
SLH-DSA,keygen,256,17751381,9
SLH-DSA,keygen,256,17751390,10
SLH-DSA,keygen,256,17751473,11
SLH-DSA,keygen,256,17751437,12
SLH-DSA,keygen,256,17751465,13
SLH-DSA,keygen,256,17751354,14
SLH-DSA,keygen,256,17751470,15
SLH-DSA,keygen,256,17751367,16
SLH-DSA,keygen,256,17751406,17
SLH-DSA,keygen,256,17751092,18
SLH-DSA,keygen,256,17751363,19
SLH-DSA,keygen,256,17751400,20
SLH-DSA,keygen,256,17751198,21
SLH-DSA,keygen,256,17751504,22
SLH-DSA,keygen,256,17751438,23
SLH-DSA,keygen,256,17751515,24
SLH-DSA,keygen,256,17751194,25
SLH-DSA,keygen,256,17751340,26
SLH-DSA,keygen,256,17751316,27
SLH-DSA,keygen,256,17751724,28
SLH-DSA,keygen,256,17751365,29
SLH-DSA,keygen,256,17751384,30
# SUMMARY SLH-DSA keygen 256: mean=17751421 min=17751074 max=17752406 stddev=235.0 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,256,313592639,1
SLH-DSA,sign,256,313596694,2
SLH-DSA,sign,256,313587752,3
SLH-DSA,sign,256,313598708,4
SLH-DSA,sign,256,313591568,5
SLH-DSA,sign,256,313585402,6
SLH-DSA,sign,256,313590900,7
SLH-DSA,sign,256,313594592,8
SLH-DSA,sign,256,313584052,9
SLH-DSA,sign,256,313595057,10
SLH-DSA,sign,256,313586621,11
SLH-DSA,sign,256,313586465,12
SLH-DSA,sign,256,313587038,13
SLH-DSA,sign,256,313588721,14
SLH-DSA,sign,256,313592692,15
SLH-DSA,sign,256,313591469,16
SLH-DSA,sign,256,313583877,17
SLH-DSA,sign,256,313587262,18
SLH-DSA,sign,256,313591594,19
SLH-DSA,sign,256,313589467,20
SLH-DSA,sign,256,313594968,21
SLH-DSA,sign,256,313591273,22
SLH-DSA,sign,256,313590919,23
SLH-DSA,sign,256,313592317,24
SLH-DSA,sign,256,313590440,25
SLH-DSA,sign,256,313591311,26
SLH-DSA,sign,256,313592279,27
SLH-DSA,sign,256,313591146,28
SLH-DSA,sign,256,313594197,29
SLH-DSA,sign,256,313585987,30
# SUMMARY SLH-DSA sign 256: mean=313590580 min=313583877 max=313598708 stddev=3629.5 cv=0.00%
