---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
SLH-DSA benchmark starting...
Testing parameter set: SLH-DSA-SHA2-128s
SLH-DSA,sign,192,317875305,20
SLH-DSA,sign,192,317882270,21
SLH-DSA,sign,192,317889956,22
SLH-DSA,sign,192,317892144,23
SLH-DSA,sign,192,317877688,24
SLH-DSA,sign,192,317877271,25
SLH-DSA,sign,192,317881808,26
SLH-DSA,sign,192,317888764,27
SLH-DSA,sign,192,317879288,28
SLH-DSA,sign,192,317881809,29
SLH-DSA,sign,192,317884371,30
# SUMMARY SLH-DSA sign 192: mean=317882399 min=317874328 max=317892144 stddev=4578.3 cv=0.00%
Signature generated (16224 bytes)
Starting Verify benchmark
SLH-DSA,verify,192,253649,1
SLH-DSA,verify,192,253311,2
SLH-DSA,verify,192,253249,3
SLH-DSA,verify,192,253398,4
SLH-DSA,verify,192,253357,5
SLH-DSA,verify,192,253370,6
SLH-DSA,verify,192,253287,7
SLH-DSA,verify,192,253361,8
SLH-DSA,verify,192,253389,9
SLH-DSA,verify,192,253339,10
SLH-DSA,verify,192,253485,11
SLH-DSA,verify,192,253337,12
SLH-DSA,verify,192,253303,13
SLH-DSA,verify,192,253363,14
SLH-DSA,verify,192,253372,15
SLH-DSA,verify,192,253313,16
SLH-DSA,verify,192,253400,17
SLH-DSA,verify,192,253430,18
SLH-DSA,verify,192,253390,19
SLH-DSA,verify,192,253288,20
SLH-DSA,verify,192,253425,21
SLH-DSA,verify,192,253419,22
SLH-DSA,verify,192,253316,23
SLH-DSA,verify,192,253340,24
SLH-DSA,verify,192,253356,25
SLH-DSA,verify,192,253382,26
SLH-DSA,verify,192,253474,27
SLH-DSA,verify,192,253316,28
SLH-DSA,verify,192,253424,29
SLH-DSA,verify,192,253345,30
# SUMMARY SLH-DSA verify 192: mean=253373 min=253249 max=253649 stddev=74.3 cv=0.03%
Finished SLH-DSA-SHA2-192s

========================================
Testing parameter set: SLH-DSA-SHA2-256s
SLH-DSA,keygen,256,17751810,1
SLH-DSA,keygen,256,17751384,2
SLH-DSA,keygen,256,17751299,3
SLH-DSA,keygen,256,17751482,4
SLH-DSA,keygen,256,17751114,5
SLH-DSA,keygen,256,17751106,6
SLH-DSA,keygen,256,17751329,7
SLH-DSA,keygen,256,17751623,8
SLH-DSA,keygen,256,17751236,9
SLH-DSA,keygen,256,17751306,10
SLH-DSA,keygen,256,17751611,11
SLH-DSA,keygen,256,17751360,12
SLH-DSA,keygen,256,17751574,13
SLH-DSA,keygen,256,17751424,14
SLH-DSA,keygen,256,17751155,15
SLH-DSA,keygen,256,17751285,16
SLH-DSA,keygen,256,17751339,17
SLH-DSA,keygen,256,17751801,18
SLH-DSA,keygen,256,17751562,19
SLH-DSA,keygen,256,17751247,20
SLH-DSA,keygen,256,17751232,21
SLH-DSA,keygen,256,17751605,22
SLH-DSA,keygen,256,17751484,23
SLH-DSA,keygen,256,17751393,24
SLH-DSA,keygen,256,17751208,25
SLH-DSA,keygen,256,17751411,26
SLH-DSA,keygen,256,17750971,27
SLH-DSA,keygen,256,17751121,28
SLH-DSA,keygen,256,17751543,29
SLH-DSA,keygen,256,17751403,30
# SUMMARY SLH-DSA keygen 256: mean=17751381 min=17750971 max=17751810 stddev=199.5 cv=0.00%
Finished KeyGen benchmark
Generated key pair
Starting Sign benchmark
SLH-DSA,sign,256,313595117,1
SLH-DSA,sign,256,313596826,2
SLH-DSA,sign,256,313593946,3
SLH-DSA,sign,256,313589879,4
SLH-DSA,sign,256,313592787,5
SLH-DSA,sign,256,313593017,6
SLH-DSA,sign,256,313596675,7
SLH-DSA,sign,256,313592551,8
SLH-DSA,sign,256,313592864,9
SLH-DSA,sign,256,313591871,10
SLH-DSA,sign,256,313598477,11
SLH-DSA,sign,256,313593158,12
SLH-DSA,sign,256,313595140,13
SLH-DSA,sign,256,313597930,14
SLH-DSA,sign,256,313596627,15
SLH-DSA,sign,256,313591477,16
SLH-DSA,sign,256,313595607,17
SLH-DSA,sign,256,313596369,18
SLH-DSA,sign,256,313591545,19
SLH-DSA,sign,256,313583027,20
SLH-DSA,sign,256,313588931,21
SLH-DSA,sign,256,313590146,22
SLH-DSA,sign,256,313591213,23
SLH-DSA,sign,256,313601211,24
SLH-DSA,sign,256,313588263,25
SLH-DSA,sign,256,313592343,26
SLH-DSA,sign,256,313594814,27
SLH-DSA,sign,256,313593144,28
SLH-DSA,sign,256,313596330,29
SLH-DSA,sign,256,313595677,30
# SUMMARY SLH-DSA sign 256: mean=313593565 min=313583027 max=313601211 stddev=3507.5 cv=0.00%
Signature generated (29792 bytes)
Starting Verify benchmark
SLH-DSA,verify,256,370058,1
SLH-DSA,verify,256,369872,2
SLH-DSA,verify,256,369912,3
SLH-DSA,verify,256,369801,4
SLH-DSA,verify,256,369932,5
SLH-DSA,verify,256,369913,6
SLH-DSA,verify,256,369803,7
SLH-DSA,verify,256,369912,8
SLH-DSA,verify,256,369924,9
SLH-DSA,verify,256,369916,10
SLH-DSA,verify,256,369925,11
SLH-DSA,verify,256,369922,12
SLH-DSA,verify,256,369729,13
SLH-DSA,verify,256,369795,14
SLH-DSA,verify,256,369798,15
SLH-DSA,verify,256,369843,16
SLH-DSA,verify,256,369776,17
SLH-DSA,verify,256,369801,18
SLH-DSA,verify,256,369876,19
SLH-DSA,verify,256,369875,20
SLH-DSA,verify,256,369837,21
SLH-DSA,verify,256,369936,22
SLH-DSA,verify,256,369943,23
SLH-DSA,verify,256,369952,24
SLH-DSA,verify,256,369843,25
SLH-DSA,verify,256,369943,26
SLH-DSA,verify,256,369810,27
SLH-DSA,verify,256,369864,28
SLH-DSA,verify,256,369808,29
SLH-DSA,verify,256,369959,30
# SUMMARY SLH-DSA verify 256: mean=369876 min=369729 max=370058 stddev=70.1 cv=0.02%
Finished SLH-DSA-SHA2-256s

========================================
