---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# STACK ML-DSA verify 44: 36064 bytes (avail=189760)
# --- ML-DSA-65 (FIPS 204) ---
# PK=1952 SK=4032 SIG=3309 bytes
ML-DSA,keygen,65,67319,1
ML-DSA,keygen,65,66972,2
ML-DSA,keygen,65,66927,3
ML-DSA,keygen,65,66894,4
ML-DSA,keygen,65,66908,5
ML-DSA,keygen,65,66889,6
ML-DSA,keygen,65,66896,7
ML-DSA,keygen,65,66897,8
ML-DSA,keygen,65,66910,9
ML-DSA,keygen,65,66902,10
ML-DSA,keygen,65,66905,11
ML-DSA,keygen,65,66897,12
ML-DSA,keygen,65,66891,13
ML-DSA,keygen,65,66908,14
ML-DSA,keygen,65,66894,15
ML-DSA,keygen,65,66899,16
ML-DSA,keygen,65,66905,17
ML-DSA,keygen,65,66887,18
ML-DSA,keygen,65,66894,19
ML-DSA,keygen,65,66905,20
ML-DSA,keygen,65,66895,21
ML-DSA,keygen,65,66896,22
ML-DSA,keygen,65,66905,23
ML-DSA,keygen,65,66890,24
ML-DSA,keygen,65,66901,25
ML-DSA,keygen,65,66883,26
ML-DSA,keygen,65,66918,27
ML-DSA,keygen,65,66887,28
ML-DSA,keygen,65,66895,29
ML-DSA,keygen,65,66909,30
# SUMMARY ML-DSA keygen 65: mean=66916 min=66883 max=67319 stddev=76.5 cv=0.11%
ML-DSA,sign,65,440224,1
ML-DSA,sign,65,105487,2
ML-DSA,sign,65,139113,3
ML-DSA,sign,65,240093,4
ML-DSA,sign,65,248047,5
ML-DSA,sign,65,139174,6
ML-DSA,sign,65,406475,7
ML-DSA,sign,65,180701,8
ML-DSA,sign,65,289604,9
ML-DSA,sign,65,230125,10
ML-DSA,sign,65,432148,11
ML-DSA,sign,65,147010,12
ML-DSA,sign,65,539075,13
ML-DSA,sign,65,180690,14
ML-DSA,sign,65,105452,15
ML-DSA,sign,65,523078,16
ML-DSA,sign,65,346948,17
ML-DSA,sign,65,105461,18
ML-DSA,sign,65,105465,19
ML-DSA,sign,65,180740,20
ML-DSA,sign,65,188535,21
ML-DSA,sign,65,248034,22
ML-DSA,sign,65,297503,23
ML-DSA,sign,65,248021,24
ML-DSA,sign,65,139066,25
ML-DSA,sign,65,139159,26
ML-DSA,sign,65,323296,27
ML-DSA,sign,65,523372,28
ML-DSA,sign,65,105450,29
ML-DSA,sign,65,105441,30
ML-DSA,sign,65,105441,31
ML-DSA,sign,65,606315,32
ML-DSA,sign,65,590679,33
ML-DSA,sign,65,147107,34
ML-DSA,sign,65,263869,35
ML-DSA,sign,65,556850,36
ML-DSA,sign,65,139102,37
ML-DSA,sign,65,105449,38
ML-DSA,sign,65,105432,39
ML-DSA,sign,65,289655,40
ML-DSA,sign,65,289723,41
ML-DSA,sign,65,139148,42
ML-DSA,sign,65,105449,43
ML-DSA,sign,65,414798,44
ML-DSA,sign,65,147040,45
ML-DSA,sign,65,364829,46
ML-DSA,sign,65,289789,47
ML-DSA,sign,65,273893,48
ML-DSA,sign,65,105457,49
ML-DSA,sign,65,105463,50
ML-DSA,sign,65,146980,51
ML-DSA,sign,65,346997,52
ML-DSA,sign,65,105443,53
ML-DSA,sign,65,105437,54
ML-DSA,sign,65,188486,55
ML-DSA,sign,65,105441,56
ML-DSA,sign,65,774705,57
ML-DSA,sign,65,222226,58
ML-DSA,sign,65,214257,59
ML-DSA,sign,65,598196,60
ML-DSA,sign,65,172842,61
ML-DSA,sign,65,105449,62
ML-DSA,sign,65,105452,63
ML-DSA,sign,65,281811,64
ML-DSA,sign,65,380800,65
ML-DSA,sign,65,240156,66
ML-DSA,sign,65,139124,67
ML-DSA,sign,65,364875,68
ML-DSA,sign,65,305433,69
ML-DSA,sign,65,338850,70
ML-DSA,sign,65,105442,71
ML-DSA,sign,65,105468,72
ML-DSA,sign,65,105448,73
ML-DSA,sign,65,297437,74
ML-DSA,sign,65,105452,75
ML-DSA,sign,65,105445,76
ML-DSA,sign,65,139128,77
ML-DSA,sign,65,172743,78
ML-DSA,sign,65,331199,79
